id,lv,next_id,exskill_id,cost,restore,effects,pas_skills
501019,19,501020,501001,1#1950000|27#195|216#485,27#1805|216#4465,hp#168445|atk#3164|spd#0|sklP#0,101010
501020,20,501021,501001,1#2000000|27#205|216#510,27#2000|216#4950,hp#177311|atk#3515|spd#0|sklP#0,101010|101020
501021,21,501022,501001,1#2050000|27#215|216#535,27#2205|216#5460,hp#186176|atk#3867|spd#2|sklP#0,101010|101020
501022,22,501023,501001,1#2100000|27#225|216#560,27#2420|216#5995,hp#195042|atk#4218|spd#2|sklP#0,101010|101020
501023,23,501024,501001,1#2150000|27#235|216#585,27#2645|216#6555,hp#203908|atk#4570|spd#4|sklP#0,101010|101020
501024,24,501025,501001,1#2200000|27#245|216#610,27#2880|216#7140,hp#212773|atk#4921|spd#4|sklP#0,101010|101020
501025,25,501026,501001,1#2250000|27#255|216#635,27#3125|216#7750,hp#221639|atk#5273|spd#6|sklP#0,101010|101020
501026,26,501027,501001,1#2300000|27#265|216#660,27#3380|216#8385,hp#230504|atk#5625|spd#6|sklP#0,101010|101020
501027,27,501028,501001,1#2350000|27#275|216#685,27#3645|216#9045,hp#239370|atk#5976|spd#8|sklP#0,101010|101020
501028,28,501029,501001,1#2400000|27#285|216#710,27#3920|216#9730,hp#248235|atk#6328|spd#8|sklP#0,101010|101020
501029,29,501030,501001,1#2450000|27#295|216#735,27#4205|216#10440,hp#257101|atk#6679|spd#10|sklP#0,101010|101020
501030,30,501031,501001,1#2500000|27#305|216#760,27#4500|216#11175,hp#265967|atk#7031|spd#10|sklP#10,101010|101020
501031,31,501032,501001,1#2550000|27#315|216#785,27#4805|216#11935,hp#274832|atk#7382|spd#12|sklP#10,101010|101020
501032,32,501033,501001,1#2600000|27#325|216#810,27#5120|216#12720,hp#283698|atk#7734|spd#12|sklP#10,101010|101020
501033,33,501034,501001,1#2650000|27#335|216#835,27#5445|216#13530,hp#292563|atk#8086|spd#14|sklP#10,101010|101020
501034,34,501035,501001,1#2700000|27#345|216#860,27#5780|216#14365,hp#301429|atk#8437|spd#14|sklP#20,101010|101020
501035,35,501036,501001,1#2750000|27#355|216#885,27#6125|216#15225,hp#310294|atk#8789|spd#16|sklP#20,101010|101020
501036,36,501037,501001,1#2800000|27#365|216#910,27#6480|216#16110,hp#319160|atk#9140|spd#16|sklP#20,101010|101020
501037,37,501038,501001,1#2850000|27#375|216#935,27#6845|216#17020,hp#328026|atk#9492|spd#18|sklP#20,101010|101020
501038,38,501039,501001,1#2900000|27#385|216#960,27#7220|216#17955,hp#336891|atk#9843|spd#18|sklP#30,101010|101020
501039,39,501040,501001,1#2950000|27#395|216#985,27#7605|216#18915,hp#345757|atk#10195|spd#20|sklP#30,101010|101020
501040,40,501041,501001,1#3000000|27#405|216#1010,27#8000|216#19900,hp#354622|atk#10547|spd#20|sklP#30,101010|101020|101040
501041,41,501042,501001,1#3050000|27#415|216#1035,27#8405|216#20910,hp#363488|atk#10898|spd#22|sklP#30,101010|101020|101040
501042,42,501043,501001,1#3100000|27#425|216#1060,27#8820|216#21945,hp#372353|atk#11250|spd#22|sklP#40,101010|101020|101040
501043,43,501044,501001,1#3150000|27#435|216#1085,27#9245|216#23005,hp#381219|atk#11601|spd#24|sklP#40,101010|101020|101040
501044,44,501045,501001,1#3200000|27#445|216#1110,27#9680|216#24090,hp#390085|atk#11953|spd#24|sklP#40,101010|101020|101040
501045,45,501046,501001,1#3250000|27#455|216#1135,27#10125|216#25200,hp#398950|atk#12304|spd#26|sklP#40,101010|101020|101040
501046,46,501047,501001,1#3300000|27#465|216#1160,27#10580|216#26335,hp#407816|atk#12656|spd#26|sklP#50,101010|101020|101040
501047,47,501048,501001,1#3350000|27#475|216#1185,27#11045|216#27495,hp#416681|atk#13007|spd#28|sklP#50,101010|101020|101040
501048,48,501049,501001,1#3400000|27#485|216#1210,27#11520|216#28680,hp#425547|atk#13359|spd#28|sklP#50,101010|101020|101040
501049,49,501050,501001,1#3450000|27#495|216#1235,27#12005|216#29890,hp#434412|atk#13711|spd#30|sklP#50,101010|101020|101040
501050,50,501051,501001,1#3500000|27#505|216#1260,27#12500|216#31125,hp#443278|atk#14062|spd#30|sklP#60,101010|101020|101040
501051,51,501052,501001,1#3550000|27#515|216#1285,27#13005|216#32385,hp#452144|atk#14414|spd#32|sklP#60,101010|101020|101040
501052,52,501053,501001,1#3600000|27#525|216#1310,27#13520|216#33670,hp#461009|atk#14765|spd#32|sklP#60,101010|101020|101040
501053,53,501054,501001,1#3650000|27#535|216#1335,27#14045|216#34980,hp#469875|atk#15117|spd#34|sklP#60,101010|101020|101040
501054,54,501055,501001,1#3700000|27#545|216#1360,27#14580|216#36315,hp#478740|atk#15468|spd#34|sklP#70,101010|101020|101040
501055,55,501056,501001,1#3750000|27#555|216#1385,27#15125|216#37675,hp#487606|atk#15820|spd#36|sklP#70,101010|101020|101040
501056,56,501057,501001,1#3800000|27#565|216#1410,27#15680|216#39060,hp#496471|atk#16172|spd#36|sklP#70,101010|101020|101040
501057,57,501058,501001,1#3850000|27#575|216#1435,27#16245|216#40470,hp#505337|atk#16523|spd#38|sklP#70,101010|101020|101040
501058,58,501059,501001,1#3900000|27#585|216#1460,27#16820|216#41905,hp#514203|atk#16875|spd#38|sklP#80,101010|101020|101040
501059,59,501060,501001,1#3950000|27#595|216#1485,27#17405|216#43365,hp#523068|atk#17226|spd#40|sklP#80,101010|101020|101040
501060,60,501061,501001,1#4000000|27#605|216#1510,27#18000|216#44850,hp#531934|atk#17578|spd#40|sklP#80,101010|101020|101040|501060
501061,61,501062,501001,1#4050000|27#615|216#1535,27#18605|216#46360,hp#540799|atk#17929|spd#42|sklP#80,101010|101020|101040|501060
501062,62,501063,501001,1#4100000|27#625|216#1560,27#19220|216#47895,hp#549665|atk#18281|spd#42|sklP#90,101010|101020|101040|501060
501063,63,501064,501001,1#4150000|27#635|216#1585,27#19845|216#49455,hp#558530|atk#18633|spd#44|sklP#90,101010|101020|101040|501060
501064,64,501065,501001,1#4200000|27#645|216#1610,27#20480|216#51040,hp#567396|atk#18984|spd#44|sklP#90,101010|101020|101040|501060
501065,65,501066,501001,1#4250000|27#655|216#1635,27#21125|216#52650,hp#576262|atk#19336|spd#46|sklP#90,101010|101020|101040|501060
501066,66,501067,501001,1#4300000|27#665|216#1660,27#21780|216#54285,hp#585127|atk#19687|spd#46|sklP#100,101010|101020|101040|501060
501067,67,501068,501001,1#4350000|27#675|216#1685,27#22445|216#55945,hp#593993|atk#20039|spd#48|sklP#100,101010|101020|101040|501060
501068,68,501069,501001,1#4400000|27#685|216#1710,27#23120|216#57630,hp#602858|atk#20390|spd#48|sklP#100,101010|101020|101040|501060
501069,69,501070,501001,1#4450000|27#695|216#1735,27#23805|216#59340,hp#611724|atk#20742|spd#50|sklP#100,101010|101020|101040|501060
501070,70,501071,501001,1#4500000|27#705|216#1760,27#24500|216#61075,hp#620589|atk#21094|spd#50|sklP#110,101010|101020|101040|501060
501071,71,501072,501001,1#4550000|27#715|216#1785,27#25205|216#62835,hp#629455|atk#21445|spd#52|sklP#110,101010|101020|101040|501060
501072,72,501073,501001,1#4600000|27#725|216#1810,27#25920|216#64620,hp#638321|atk#21797|spd#52|sklP#110,101010|101020|101040|501060
501073,73,501074,501001,1#4650000|27#735|216#1835,27#26645|216#66430,hp#647186|atk#22148|spd#54|sklP#110,101010|101020|101040|501060
501074,74,501075,501001,1#4700000|27#745|216#1860,27#27380|216#68265,hp#656052|atk#22500|spd#54|sklP#120,101010|101020|101040|501060
501075,75,501076,501001,1#4750000|27#755|216#1885,27#28125|216#70125,hp#664917|atk#22851|spd#56|sklP#120,101010|101020|101040|501060
501076,76,501077,501001,1#4800000|27#765|216#1910,27#28880|216#72010,hp#673783|atk#23203|spd#56|sklP#120,101010|101020|101040|501060
501077,77,501078,501001,1#4850000|27#775|216#1935,27#29645|216#73920,hp#682648|atk#23554|spd#58|sklP#120,101010|101020|101040|501060
501078,78,501079,501001,1#4900000|27#785|216#1960,27#30420|216#75855,hp#691514|atk#23906|spd#58|sklP#130,101010|101020|101040|501060
501079,79,501080,501001,1#4950000|27#795|216#1985,27#31205|216#77815,hp#700380|atk#24258|spd#60|sklP#130,101010|101020|101040|501060
501080,80,501081,501001,1#5000000|27#805|216#2010,27#32000|216#79800,hp#709245|atk#24609|spd#60|sklP#130,101010|101020|101040|501060|501080
501081,81,501082,501001,1#5050000|27#815|216#2035,27#32805|216#81810,hp#718111|atk#24961|spd#62|sklP#130,101010|101020|101040|501060|501080
501082,82,501083,501001,1#5100000|27#825|216#2060,27#33620|216#83845,hp#726976|atk#25312|spd#64|sklP#140,101010|101020|101040|501060|501080
501083,83,501084,501001,1#5150000|27#835|216#2085,27#34445|216#85905,hp#735842|atk#25664|spd#66|sklP#140,101010|101020|101040|501060|501080
501084,84,501085,501001,1#5200000|27#845|216#2110,27#35280|216#87990,hp#744707|atk#26015|spd#68|sklP#140,101010|101020|101040|501060|501080
501085,85,501086,501001,1#5250000|27#855|216#2135,27#36125|216#90100,hp#753573|atk#26367|spd#70|sklP#140,101010|101020|101040|501060|501080
501086,86,501087,501001,1#5300000|27#865|216#2160,27#36980|216#92235,hp#762439|atk#26719|spd#72|sklP#150,101010|101020|101040|501060|501080
501087,87,501088,501001,1#5350000|27#875|216#2185,27#37845|216#94395,hp#771304|atk#27070|spd#74|sklP#150,101010|101020|101040|501060|501080
501088,88,501089,501001,1#5400000|27#885|216#2210,27#38720|216#96580,hp#780170|atk#27422|spd#76|sklP#150,101010|101020|101040|501060|501080
501089,89,501090,501001,1#5450000|27#895|216#2235,27#39605|216#98790,hp#789035|atk#27773|spd#78|sklP#150,101010|101020|101040|501060|501080
501090,90,501091,501001,1#5500000|27#905|216#2260,27#40500|216#101025,hp#797901|atk#28125|spd#80|sklP#160,101010|101020|101040|501060|501080
501091,91,501092,501001,1#5550000|27#915|216#2285,27#41405|216#103285,hp#806766|atk#28476|spd#82|sklP#160,101010|101020|101040|501060|501080
501092,92,501093,501001,1#5600000|27#925|216#2310,27#42320|216#105570,hp#815632|atk#28828|spd#84|sklP#160,101010|101020|101040|501060|501080
501093,93,501094,501001,1#5650000|27#935|216#2335,27#43245|216#107880,hp#824498|atk#29180|spd#86|sklP#160,101010|101020|101040|501060|501080
501094,94,501095,501001,1#5700000|27#945|216#2360,27#44180|216#110215,hp#833363|atk#29531|spd#88|sklP#170,101010|101020|101040|501060|501080
501095,95,501096,501001,1#5750000|27#955|216#2385,27#45125|216#112575,hp#842229|atk#29883|spd#90|sklP#170,101010|101020|101040|501060|501080
501096,96,501097,501001,1#5800000|27#965|216#2410,27#46080|216#114960,hp#851094|atk#30234|spd#92|sklP#180,101010|101020|101040|501060|501080
501097,97,501098,501001,1#5850000|27#975|216#2435,27#47045|216#117370,hp#859960|atk#30586|spd#94|sklP#180,101010|101020|101040|501060|501080
501098,98,501099,501001,1#5900000|27#985|216#2460,27#48020|216#119805,hp#868825|atk#30937|spd#96|sklP#190,101010|101020|101040|501060|501080
501099,99,501100,501001,1#5950000|27#995|216#2485,27#49005|216#122265,hp#877691|atk#31289|spd#98|sklP#190,101010|101020|101040|501060|501080
501100,100,0,501001,,27#50000|216#124750,hp#886557|atk#31641|spd#100|sklP#200,101010|101020|101040|501060|501080|101100
601001,1,601002,601001,1#1050000|27#15|216#35,27#5|216#10,hp#8376|atk#0|spd#0|sklP#0,
601002,2,601003,601001,1#1100000|27#25|216#60,27#20|216#45,hp#16752|atk#0|spd#0|sklP#0,
601003,3,601004,601001,1#1150000|27#35|216#85,27#45|216#105,hp#25128|atk#0|spd#0|sklP#0,
601004,4,601005,601001,1#1200000|27#45|216#110,27#80|216#190,hp#33504|atk#0|spd#0|sklP#0,
601005,5,601006,601001,1#1250000|27#55|216#135,27#125|216#300,hp#41880|atk#0|spd#0|sklP#0,
601006,6,601007,601001,1#1300000|27#65|216#160,27#180|216#435,hp#50256|atk#0|spd#0|sklP#0,
601007,7,601008,601001,1#1350000|27#75|216#185,27#245|216#595,hp#58632|atk#0|spd#0|sklP#0,
601008,8,601009,601001,1#1400000|27#85|216#210,27#320|216#780,hp#67008|atk#0|spd#0|sklP#0,
601009,9,601010,601001,1#1450000|27#95|216#235,27#405|216#990,hp#75384|atk#0|spd#0|sklP#0,
601010,10,601011,601001,1#1500000|27#105|216#260,27#500|216#1225,hp#83760|atk#0|spd#0|sklP#0,101010
601011,11,601012,601001,1#1550000|27#115|216#285,27#605|216#1485,hp#92136|atk#371|spd#0|sklP#0,101010
601012,12,601013,601001,1#1600000|27#125|216#310,27#720|216#1770,hp#100512|atk#743|spd#0|sklP#0,101010
601013,13,601014,601001,1#1650000|27#135|216#335,27#845|216#2080,hp#108888|atk#1114|spd#0|sklP#0,101010
601014,14,601015,601001,1#1700000|27#145|216#360,27#980|216#2415,hp#117264|atk#1486|spd#0|sklP#0,101010
601015,15,601016,601001,1#1750000|27#155|216#385,27#1125|216#2775,hp#125640|atk#1858|spd#0|sklP#0,101010
601016,16,601017,601001,1#1800000|27#165|216#410,27#1280|216#3160,hp#134016|atk#2229|spd#0|sklP#0,101010
601017,17,601018,601001,1#1850000|27#175|216#435,27#1445|216#3570,hp#142393|atk#2601|spd#0|sklP#0,101010
601018,18,601019,601001,1#1900000|27#185|216#460,27#1620|216#4005,hp#150769|atk#2973|spd#0|sklP#0,101010
601019,19,601020,601001,1#1950000|27#195|216#485,27#1805|216#4465,hp#159145|atk#3344|spd#0|sklP#0,101010
601020,20,601021,601001,1#2000000|27#205|216#510,27#2000|216#4950,hp#167521|atk#3716|spd#0|sklP#0,101010|101020
601021,21,601022,601001,1#2050000|27#215|216#535,27#2205|216#5460,hp#175897|atk#4087|spd#2|sklP#0,101010|101020
601022,22,601023,601001,1#2100000|27#225|216#560,27#2420|216#5995,hp#184273|atk#4459|spd#2|sklP#0,101010|101020
601023,23,601024,601001,1#2150000|27#235|216#585,27#2645|216#6555,hp#192649|atk#4831|spd#4|sklP#0,101010|101020
601024,24,601025,601001,1#2200000|27#245|216#610,27#2880|216#7140,hp#201025|atk#5202|spd#4|sklP#0,101010|101020
601025,25,601026,601001,1#2250000|27#255|216#635,27#3125|216#7750,hp#209401|atk#5574|spd#6|sklP#0,101010|101020
601026,26,601027,601001,1#2300000|27#265|216#660,27#3380|216#8385,hp#217777|atk#5946|spd#6|sklP#0,101010|101020
601027,27,601028,601001,1#2350000|27#275|216#685,27#3645|216#9045,hp#226153|atk#6317|spd#8|sklP#0,101010|101020
601028,28,601029,601001,1#2400000|27#285|216#710,27#3920|216#9730,hp#234529|atk#6689|spd#8|sklP#0,101010|101020
601029,29,601030,601001,1#2450000|27#295|216#735,27#4205|216#10440,hp#242905|atk#7061|spd#10|sklP#0,101010|101020
601030,30,601031,601001,1#2500000|27#305|216#760,27#4500|216#11175,hp#251281|atk#7432|spd#10|sklP#10,101010|101020
601031,31,601032,601001,1#2550000|27#315|216#785,27#4805|216#11935,hp#259657|atk#7804|spd#12|sklP#10,101010|101020
601032,32,601033,601001,1#2600000|27#325|216#810,27#5120|216#12720,hp#268033|atk#8175|spd#12|sklP#10,101010|101020
601033,33,601034,601001,1#2650000|27#335|216#835,27#5445|216#13530,hp#276409|atk#8547|spd#14|sklP#10,101010|101020
601034,34,601035,601001,1#2700000|27#345|216#860,27#5780|216#14365,hp#284786|atk#8919|spd#14|sklP#20,101010|101020
601035,35,601036,601001,1#2750000|27#355|216#885,27#6125|216#15225,hp#293162|atk#9290|spd#16|sklP#20,101010|101020
601036,36,601037,601001,1#2800000|27#365|216#910,27#6480|216#16110,hp#301538|atk#9662|spd#16|sklP#20,101010|101020
601037,37,601038,601001,1#2850000|27#375|216#935,27#6845|216#17020,hp#309914|atk#10034|spd#18|sklP#20,101010|101020
601038,38,601039,601001,1#2900000|27#385|216#960,27#7220|216#17955,hp#318290|atk#10405|spd#18|sklP#30,101010|101020
601039,39,601040,601001,1#2950000|27#395|216#985,27#7605|216#18915,hp#326666|atk#10777|spd#20|sklP#30,101010|101020
601040,40,601041,601001,1#3000000|27#405|216#1010,27#8000|216#19900,hp#335042|atk#11149|spd#20|sklP#30,101010|101020|101040
601041,41,601042,601001,1#3050000|27#415|216#1035,27#8405|216#20910,hp#343418|atk#11520|spd#22|sklP#30,101010|101020|101040
601042,42,601043,601001,1#3100000|27#425|216#1060,27#8820|216#21945,hp#351794|atk#11892|spd#22|sklP#40,101010|101020|101040
601043,43,601044,601001,1#3150000|27#435|216#1085,27#9245|216#23005,hp#360170|atk#12263|spd#24|sklP#40,101010|101020|101040
601044,44,601045,601001,1#3200000|27#445|216#1110,27#9680|216#24090,hp#368546|atk#12635|spd#24|sklP#40,101010|101020|101040
601045,45,601046,601001,1#3250000|27#455|216#1135,27#10125|216#25200,hp#376922|atk#13007|spd#26|sklP#40,101010|101020|101040
601046,46,601047,601001,1#3300000|27#465|216#1160,27#10580|216#26335,hp#385298|atk#13378|spd#26|sklP#50,101010|101020|101040
601047,47,601048,601001,1#3350000|27#475|216#1185,27#11045|216#27495,hp#393674|atk#13750|spd#28|sklP#50,101010|101020|101040
601048,48,601049,601001,1#3400000|27#485|216#1210,27#11520|216#28680,hp#402050|atk#14122|spd#28|sklP#50,101010|101020|101040
601049,49,601050,601001,1#3450000|27#495|216#1235,27#12005|216#29890,hp#410426|atk#14493|spd#30|sklP#50,101010|101020|101040
601050,50,601051,601001,1#3500000|27#505|216#1260,27#12500|216#31125,hp#418803|atk#14865|spd#30|sklP#60,101010|101020|101040
601051,51,601052,601001,1#3550000|27#515|216#1285,27#13005|216#32385,hp#427179|atk#15236|spd#32|sklP#60,101010|101020|101040
601052,52,601053,601001,1#3600000|27#525|216#1310,27#13520|216#33670,hp#435555|atk#15608|spd#32|sklP#60,101010|101020|101040
601053,53,601054,601001,1#3650000|27#535|216#1335,27#14045|216#34980,hp#443931|atk#15980|spd#34|sklP#60,101010|101020|101040
601054,54,601055,601001,1#3700000|27#545|216#1360,27#14580|216#36315,hp#452307|atk#16351|spd#34|sklP#70,101010|101020|101040
601055,55,601056,601001,1#3750000|27#555|216#1385,27#15125|216#37675,hp#460683|atk#16723|spd#36|sklP#70,101010|101020|101040
601056,56,601057,601001,1#3800000|27#565|216#1410,27#15680|216#39060,hp#469059|atk#17095|spd#36|sklP#70,101010|101020|101040
601057,57,601058,601001,1#3850000|27#575|216#1435,27#16245|216#40470,hp#477435|atk#17466|spd#38|sklP#70,101010|101020|101040
601058,58,601059,601001,1#3900000|27#585|216#1460,27#16820|216#41905,hp#485811|atk#17838|spd#38|sklP#80,101010|101020|101040
601059,59,601060,601001,1#3950000|27#595|216#1485,27#17405|216#43365,hp#494187|atk#18210|spd#40|sklP#80,101010|101020|101040
601060,60,601061,601001,1#4000000|27#605|216#1510,27#18000|216#44850,hp#502563|atk#18581|spd#40|sklP#80,101010|101020|101040|601060
601061,61,601062,601001,1#4050000|27#615|216#1535,27#18605|216#46360,hp#510939|atk#18953|spd#42|sklP#80,101010|101020|101040|601060
601062,62,601063,601001,1#4100000|27#625|216#1560,27#19220|216#47895,hp#519315|atk#19324|spd#42|sklP#90,101010|101020|101040|601060
601063,63,601064,601001,1#4150000|27#635|216#1585,27#19845|216#49455,hp#527691|atk#19696|spd#44|sklP#90,101010|101020|101040|601060
601064,64,601065,601001,1#4200000|27#645|216#1610,27#20480|216#51040,hp#536067|atk#20068|spd#44|sklP#90,101010|101020|101040|601060
601065,65,601066,601001,1#4250000|27#655|216#1635,27#21125|216#52650,hp#544443|atk#20439|spd#46|sklP#90,101010|101020|101040|601060
601066,66,601067,601001,1#4300000|27#665|216#1660,27#21780|216#54285,hp#552819|atk#20811|spd#46|sklP#100,101010|101020|101040|601060
601067,67,601068,601001,1#4350000|27#675|216#1685,27#22445|216#55945,hp#561196|atk#21183|spd#48|sklP#100,101010|101020|101040|601060
601068,68,601069,601001,1#4400000|27#685|216#1710,27#23120|216#57630,hp#569572|atk#21554|spd#48|sklP#100,101010|101020|101040|601060
601069,69,601070,601001,1#4450000|27#695|216#1735,27#23805|216#59340,hp#577948|atk#21926|spd#50|sklP#100,101010|101020|101040|601060
601070,70,601071,601001,1#4500000|27#705|216#1760,27#24500|216#61075,hp#586324|atk#22298|spd#50|sklP#110,101010|101020|101040|601060
601071,71,601072,601001,1#4550000|27#715|216#1785,27#25205|216#62835,hp#594700|atk#22669|spd#52|sklP#110,101010|101020|101040|601060
601072,72,601073,601001,1#4600000|27#725|216#1810,27#25920|216#64620,hp#603076|atk#23041|spd#52|sklP#110,101010|101020|101040|601060
601073,73,601074,601001,1#4650000|27#735|216#1835,27#26645|216#66430,hp#611452|atk#23412|spd#54|sklP#110,101010|101020|101040|601060
601074,74,601075,601001,1#4700000|27#745|216#1860,27#27380|216#68265,hp#619828|atk#23784|spd#54|sklP#120,101010|101020|101040|601060
601075,75,601076,601001,1#4750000|27#755|216#1885,27#28125|216#70125,hp#628204|atk#24156|spd#56|sklP#120,101010|101020|101040|601060
601076,76,601077,601001,1#4800000|27#765|216#1910,27#28880|216#72010,hp#636580|atk#24527|spd#56|sklP#120,101010|101020|101040|601060
601077,77,601078,601001,1#4850000|27#775|216#1935,27#29645|216#73920,hp#644956|atk#24899|spd#58|sklP#120,101010|101020|101040|601060
601078,78,601079,601001,1#4900000|27#785|216#1960,27#30420|216#75855,hp#653332|atk#25271|spd#58|sklP#130,101010|101020|101040|601060
601079,79,601080,601001,1#4950000|27#795|216#1985,27#31205|216#77815,hp#661708|atk#25642|spd#60|sklP#130,101010|101020|101040|601060
601080,80,601081,601001,1#5000000|27#805|216#2010,27#32000|216#79800,hp#670084|atk#26014|spd#60|sklP#130,101010|101020|101040|601060|601080
601081,81,601082,601001,1#5050000|27#815|216#2035,27#32805|216#81810,hp#678460|atk#26385|spd#62|sklP#130,101010|101020|101040|601060|601080
601082,82,601083,601001,1#5100000|27#825|216#2060,27#33620|216#83845,hp#686836|atk#26757|spd#64|sklP#140,101010|101020|101040|601060|601080
601083,83,601084,601001,1#5150000|27#835|216#2085,27#34445|216#85905,hp#695212|atk#27129|spd#66|sklP#140,101010|101020|101040|601060|601080
601084,84,601085,601001,1#5200000|27#845|216#2110,27#35280|216#87990,hp#703589|atk#27500|spd#68|sklP#140,101010|101020|101040|601060|601080
601085,85,601086,601001,1#5250000|27#855|216#2135,27#36125|216#90100,hp#711965|atk#27872|spd#70|sklP#140,101010|101020|101040|601060|601080
601086,86,601087,601001,1#5300000|27#865|216#2160,27#36980|216#92235,hp#720341|atk#28244|spd#72|sklP#150,101010|101020|101040|601060|601080
601087,87,601088,601001,1#5350000|27#875|216#2185,27#37845|216#94395,hp#728717|atk#28615|spd#74|sklP#150,101010|101020|101040|601060|601080
601088,88,601089,601001,1#5400000|27#885|216#2210,27#38720|216#96580,hp#737093|atk#28987|spd#76|sklP#150,101010|101020|101040|601060|601080
601089,89,601090,601001,1#5450000|27#895|216#2235,27#39605|216#98790,hp#745469|atk#29359|spd#78|sklP#150,101010|101020|101040|601060|601080
601090,90,601091,601001,1#5500000|27#905|216#2260,27#40500|216#101025,hp#753845|atk#29730|spd#80|sklP#160,101010|101020|101040|601060|601080
601091,91,601092,601001,1#5550000|27#915|216#2285,27#41405|216#103285,hp#762221|atk#30102|spd#82|sklP#160,101010|101020|101040|601060|601080
601092,92,601093,601001,1#5600000|27#925|216#2310,27#42320|216#105570,hp#770597|atk#30473|spd#84|sklP#160,101010|101020|101040|601060|601080
601093,93,601094,601001,1#5650000|27#935|216#2335,27#43245|216#107880,hp#778973|atk#30845|spd#86|sklP#160,101010|101020|101040|601060|601080
601094,94,601095,601001,1#5700000|27#945|216#2360,27#44180|216#110215,hp#787349|atk#31217|spd#88|sklP#170,101010|101020|101040|601060|601080
601095,95,601096,601001,1#5750000|27#955|216#2385,27#45125|216#112575,hp#795725|atk#31588|spd#90|sklP#170,101010|101020|101040|601060|601080
601096,96,601097,601001,1#5800000|27#965|216#2410,27#46080|216#114960,hp#804101|atk#31960|spd#92|sklP#180,101010|101020|101040|601060|601080
601097,97,601098,601001,1#5850000|27#975|216#2435,27#47045|216#117370,hp#812477|atk#32332|spd#94|sklP#180,101010|101020|101040|601060|601080
601098,98,601099,601001,1#5900000|27#985|216#2460,27#48020|216#119805,hp#820853|atk#32703|spd#96|sklP#190,101010|101020|101040|601060|601080
601099,99,601100,601001,1#5950000|27#995|216#2485,27#49005|216#122265,hp#829229|atk#33075|spd#98|sklP#190,101010|101020|101040|601060|601080
601100,100,0,601001,,27#50000|216#124750,hp#837606|atk#33447|spd#100|sklP#200,101010|101020|101040|601060|601080|101100
701001,1,701002,701001,1#1050000|27#15|216#35,27#5|216#10,hp#9518|atk#0|spd#0|sklP#0,
701002,2,701003,701001,1#1100000|27#25|216#60,27#20|216#45,hp#19036|atk#0|spd#0|sklP#0,
701003,3,701004,701001,1#1150000|27#35|216#85,27#45|216#105,hp#28554|atk#0|spd#0|sklP#0,
701004,4,701005,701001,1#1200000|27#45|216#110,27#80|216#190,hp#38073|atk#0|spd#0|sklP#0,
701005,5,701006,701001,1#1250000|27#55|216#135,27#125|216#300,hp#47591|atk#0|spd#0|sklP#0,
701006,6,701007,701001,1#1300000|27#65|216#160,27#180|216#435,hp#57109|atk#0|spd#0|sklP#0,
701007,7,701008,701001,1#1350000|27#75|216#185,27#245|216#595,hp#66627|atk#0|spd#0|sklP#0,
701008,8,701009,701001,1#1400000|27#85|216#210,27#320|216#780,hp#76146|atk#0|spd#0|sklP#0,
701009,9,701010,701001,1#1450000|27#95|216#235,27#405|216#990,hp#85664|atk#0|spd#0|sklP#0,
701010,10,701011,701001,1#1500000|27#105|216#260,27#500|216#1225,hp#95182|atk#0|spd#0|sklP#0,101010
701011,11,701012,701001,1#1550000|27#115|216#285,27#605|216#1485,hp#104700|atk#327|spd#0|sklP#0,101010
701012,12,701013,701001,1#1600000|27#125|216#310,27#720|216#1770,hp#114219|atk#654|spd#0|sklP#0,101010
701013,13,701014,701001,1#1650000|27#135|216#335,27#845|216#2080,hp#123737|atk#981|spd#0|sklP#0,101010
701014,14,701015,701001,1#1700000|27#145|216#360,27#980|216#2415,hp#133255|atk#1309|spd#0|sklP#0,101010
701015,15,701016,701001,1#1750000|27#155|216#385,27#1125|216#2775,hp#142773|atk#1636|spd#0|sklP#0,101010
701016,16,701017,701001,1#1800000|27#165|216#410,27#1280|216#3160,hp#152292|atk#1963|spd#0|sklP#0,101010
701017,17,701018,701001,1#1850000|27#175|216#435,27#1445|216#3570,hp#161810|atk#2290|spd#0|sklP#0,101010
701018,18,701019,701001,1#1900000|27#185|216#460,27#1620|216#4005,hp#171328|atk#2618|spd#0|sklP#0,101010
701019,19,701020,701001,1#1950000|27#195|216#485,27#1805|216#4465,hp#180846|atk#2945|spd#0|sklP#0,101010
701020,20,701021,701001,1#2000000|27#205|216#510,27#2000|216#4950,hp#190365|atk#3272|spd#0|sklP#0,101010|101020
701021,21,701022,701001,1#2050000|27#215|216#535,27#2205|216#5460,hp#199883|atk#3599|spd#2|sklP#0,101010|101020
701022,22,701023,701001,1#2100000|27#225|216#560,27#2420|216#5995,hp#209401|atk#3927|spd#2|sklP#0,101010|101020
701023,23,701024,701001,1#2150000|27#235|216#585,27#2645|216#6555,hp#218919|atk#4254|spd#4|sklP#0,101010|101020
701024,24,701025,701001,1#2200000|27#245|216#610,27#2880|216#7140,hp#228438|atk#4581|spd#4|sklP#0,101010|101020
701025,25,701026,701001,1#2250000|27#255|216#635,27#3125|216#7750,hp#237956|atk#4909|spd#6|sklP#0,101010|101020
701026,26,701027,701001,1#2300000|27#265|216#660,27#3380|216#8385,hp#247474|atk#5236|spd#6|sklP#0,101010|101020
